Station,Date,Time,latitude,longitude,PM2.5,PM10,CO,NO,NO2,NH3,O3,SO2
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,00:00:00,26.9006,75.8253,,82.69,0.93,,15.48,16.47,11.35,3.87
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,01:00:00,26.9006,75.8253,,91.74,0.95,,14.39,14.06,17.7,4.59
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,02:00:00,26.9006,75.8253,,112.1,1.16,,18.21,15.2,14.48,6.91
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,03:00:00,26.9006,75.8253,,129.78,1.4,,21.31,16.21,15.2,8.58
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,04:00:00,26.9006,75.8253,,100.33,1.04,,13.66,12.41,62.94,9.18
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,05:00:00,26.9006,75.8253,,99.1,1.05,,11.47,14.31,71.53,11.92
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,06:00:00,26.9006,75.8253,,98.83,1.04,,10.75,14.95,83.68,14.31
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,07:00:00,26.9006,75.8253,,46.69,0.51,,4.73,6.21,115.87,17.64
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,08:00:00,26.9006,75.8253,,39.82,0.44,,3.51,5.38,124.45,15.74
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,09:00:00,26.9006,75.8253,,39.52,0.42,,3.32,5.45,128.75,15.5
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,10:00:00,26.9006,75.8253,,57.76,0.71,,8.83,13.3,100.14,17.64
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,11:00:00,26.9006,75.8253,,87.43,1.2,,18.76,24.07,60.8,20.03
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,12:00:00,26.9006,75.8253,,109.66,1.66,,32.42,37.49,22.89,24.56
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,13:00:00,26.9006,75.8253,,126.37,1.92,,38.61,52.18,1.36,29.09
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,14:00:00,26.9006,75.8253,,149.83,2.16,,34.61,58.77,0.07,30.04
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,15:00:00,26.9006,75.8253,,176.43,2.43,,31.33,54.21,0.01,25.99
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,16:00:00,26.9006,75.8253,,190.28,2.48,,28.05,36.98,0.01,18.12
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,17:00:00,26.9006,75.8253,,195.02,2.46,,25.14,26.6,0.02,14.31
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,18:00:00,26.9006,75.8253,,175.84,2.14,,24.41,22.55,0.08,10.37
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,19:00:00,26.9006,75.8253,,139.4,1.63,,24.41,19.51,0.44,6.68
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,20:00:00,26.9006,75.8253,,112.71,1.24,,22.95,16.47,1.99,5.13
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,21:00:00,26.9006,75.8253,,96.85,0.99,,20.03,13.81,6.26,4.17
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,22:00:00,26.9006,75.8253,,90.62,0.85,,16.94,11.65,11.62,3.64
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,23:00:00,26.9006,75.8253,,91.8,0.81,,14.75,9.25,16.45,3.43
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,00:00:00,26.9006,75.8253,,96.33,0.8,,13.3,7.54,20.38,3.52
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,01:00:00,26.9006,75.8253,,105.53,0.85,,13.3,6.84,21.82,4.23
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,02:00:00,26.9006,75.8253,,124.55,1.08,,17.3,7.03,15.91,6.26
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,03:00:00,26.9006,75.8253,,140.81,1.32,,21.49,7.22,14.13,7.57
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,04:00:00,26.9006,75.8253,,117.46,0.99,,13.3,7.16,68.66,8.11
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,05:00:00,26.9006,75.8253,,120.04,0.97,,10.38,11.15,77.96,10.01
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,06:00:00,26.9006,75.8253,,123.74,0.95,,8.83,12.54,92.98,11.92
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,07:00:00,26.9006,75.8253,,82.46,0.54,,3.83,4.81,140.19,15.26
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,08:00:00,26.9006,75.8253,,79.0,0.5,,3.0,4.69,150.2,15.14
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,09:00:00,26.9006,75.8253,,80.05,0.5,,2.96,5.13,154.5,15.5
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,10:00:00,26.9006,75.8253,,89.79,0.64,,5.92,9.5,135.9,16.21
